vector_id,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness
vec_black_level,5.3595,2.0356,2.7630,4.3832,3.1029,3.7616,0.1210,6.4650,5.9907,7.9355,5.1230,6.7480,5.0548
vec_bokeh_softness,2.0356,1.8445,1.7214,2.8884,1.7872,2.7376,0.0440,3.1318,2.3558,2.8888,3.3728,2.5074,2.1466
vec_diffusion,2.7630,1.7214,2.5245,3.9008,3.0200,3.8480,0.1430,4.5615,3.3316,4.1715,4.5800,3.4380,2.9966
vec_edge_softness,4.3832,2.8884,3.9008,6.6464,3.9738,5.5080,0.0880,6.8576,5.0784,5.9828,7.5208,5.3840,4.6312
vec_halation,3.1029,1.7872,3.0200,3.9738,5.0329,5.5510,0.2475,5.4021,3.9465,5.0093,4.9529,3.8736,3.3580
vec_highlight_bloom,3.7616,2.7376,3.8480,5.5080,5.5510,6.9446,0.4290,6.5804,4.7308,5.6416,6.7021,4.6848,4.0872
vec_highlight_color_bias,0.1210,0.0440,0.1430,0.0880,0.2475,0.4290,0.3025,0.2970,0.1540,0.3190,0.1705,0.1650,0.1650
vec_highlight_rolloff,6.4650,3.1318,4.5615,6.8576,5.4021,6.5804,0.2970,10.0035,7.6984,11.2375,8.1830,8.0580,7.0844
vec_key_to_fill_ratio,5.9907,2.3558,3.3316,5.0784,3.9465,4.7308,0.1540,7.6984,7.1241,9.2523,6.0338,7.6736,5.9338
vec_microcontrast,7.9355,2.8888,4.1715,5.9828,5.0093,5.6416,0.3190,11.2375,9.2523,14.8865,7.3228,9.8624,8.5600
vec_optical_softness,5.1230,3.3728,4.5800,7.5208,4.9529,6.7021,0.1705,8.1830,6.0338,7.3228,8.7138,6.3548,5.4816
vec_shadow_density,6.7480,2.5074,3.4380,5.3840,3.8736,4.6848,0.1650,8.0580,7.6736,9.8624,6.3548,8.7917,6.3102
vec_source_hardness,5.0548,2.1466,2.9966,4.6312,3.3580,4.0872,0.1650,7.0844,5.9338,8.5600,5.4816,6.3102,5.4404
