observation_id,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness
obs_0001,0.2200,0.1000,0.0800,0.1600,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200
obs_0002,0.2200,0.1000,0.0800,0.1600,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200
obs_0003,0.2200,0.1000,0.0800,0.1600,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200
obs_0004,0.2200,0.1000,0.0800,0.1600,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200
obs_0005,0.2200,0.1000,0.0800,0.1600,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200
obs_0006,0.2200,0.1000,0.2100,0.4000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000
obs_0007,0.2200,0.1000,0.0600,0.1200,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000
obs_0008,0.2200,0.1000,0.2100,0.4000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000
obs_0009,0.2200,0.8000,0.3800,0.7400,0.3500,0.8800,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000
obs_0010,0.2200,0.1000,0.0600,0.1200,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000
obs_0011,0.2200,0.1000,0.2100,0.4000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000
obs_0012,0.2200,0.1000,0.0600,0.1200,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000
obs_0013,0.2200,0.1000,0.3800,0.7400,0.0800,0.4200,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000
obs_0014,0.2200,0.1000,0.3800,0.8000,0.0800,0.2800,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000
obs_0015,0.2200,0.1000,0.0600,0.1200,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000
obs_0016,0.2200,0.1000,0.2100,0.4000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000
obs_0017,0.2200,0.1000,0.3800,0.7400,0.7000,0.6800,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000
obs_0018,0.2200,0.1000,0.0600,0.1200,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000
obs_0019,0.2200,0.1000,0.2100,0.4000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000
obs_0020,0.2200,0.5800,0.3800,0.7400,0.0800,0.5000,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000
obs_0021,0.2700,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000
obs_0022,0.3900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000
obs_0023,0.5900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.7800,0.5500,0.1800,0.8600,0.3000
obs_0024,0.2700,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000
obs_0025,0.3900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000
obs_0026,0.5900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.8400,0.5500,0.1800,0.8600,0.7200
obs_0027,0.2700,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000
obs_0028,0.3900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000
obs_0029,0.5900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.4600,0.5500,0.1800,0.8600,0.3000
obs_0030,0.2700,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000
obs_0031,0.3900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000
obs_0032,0.5900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.4000,0.5500,0.1800,0.8600,0.3000
obs_0033,0.2700,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.1800,0.5500,0.1800,0.1600,0.3000
obs_0034,0.3900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.4100,0.5500,0.1800,0.4200,0.3000
obs_0035,0.5900,0.0800,0.0800,0.1600,0.0500,0.0600,0.0000,0.3200,0.6200,0.5500,0.1800,0.8600,0.3000
obs_0036,0.2200,0.0800,0.1400,0.1600,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000
obs_0037,0.2200,0.0800,0.2000,0.1600,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000
obs_0038,0.2200,0.0800,0.2600,0.1600,0.5800,0.5500,0.0000,0.5400,0.4000,0.5800,0.3100,0.3000,0.3000
obs_0039,0.2200,0.0800,0.1400,0.1600,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000
obs_0040,0.2200,0.0800,0.2000,0.1600,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000
obs_0041,0.2200,0.0800,0.2600,0.1600,0.6600,0.7000,0.0000,0.5400,0.4800,0.5800,0.3100,0.3000,0.3000
obs_0042,0.2200,0.0800,0.1400,0.1600,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000
obs_0043,0.2200,0.0800,0.2000,0.1600,0.3800,0.3200,0.0000,0.4800,0.2800,0.5800,0.2600,0.3000,0.3000
obs_0044,0.2200,0.0800,0.2600,0.1600,0.7400,0.6000,0.0000,0.5400,0.2800,0.5800,0.3100,0.3000,0.3000
obs_0045,0.2200,0.0800,0.1400,0.1600,0.0600,0.0600,0.0000,0.4200,0.2800,0.5800,0.2100,0.3000,0.3000
