vector_id,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness
vec_black_level,1.0000,0.0032,-0.1251,-0.0098,-0.0832,-0.0977,-0.0825,-0.4372,0.7686,-0.0605,-0.0591,0.9150,0.3335
vec_bokeh_softness,0.0032,1.0000,0.5479,0.6242,0.2279,0.5466,-0.0491,0.3394,-0.0037,-0.6125,0.6584,-0.0057,-0.0558
vec_diffusion,-0.1251,0.5479,1.0000,0.8656,0.7075,0.8597,0.0936,0.8481,0.0202,-0.8388,0.9264,-0.0836,-0.1419
vec_edge_softness,-0.0098,0.6242,0.8656,1.0000,0.3475,0.5959,-0.0743,0.5476,-0.0159,-0.9839,0.9694,-0.0264,-0.0919
vec_halation,-0.0832,0.2279,0.7075,0.3475,1.0000,0.8874,0.1499,0.7623,0.1314,-0.3193,0.4701,-0.0512,-0.1151
vec_highlight_bloom,-0.0977,0.5466,0.8597,0.5959,0.8874,1.0000,0.2833,0.8198,0.1004,-0.5701,0.7121,-0.0663,-0.1219
vec_highlight_color_bias,-0.0825,-0.0491,0.0936,-0.0743,0.1499,0.2833,1.0000,0.2082,-0.0603,0.0766,-0.0099,-0.0453,-0.0229
vec_highlight_rolloff,-0.4372,0.3394,0.8481,0.5476,0.7623,0.8198,0.2082,1.0000,-0.1064,-0.5050,0.6633,-0.2746,-0.1988
vec_key_to_fill_ratio,0.7686,-0.0037,0.0202,-0.0159,0.1314,0.1004,-0.0603,-0.1064,1.0000,-0.0198,-0.0066,0.8346,0.5224
vec_microcontrast,-0.0605,-0.6125,-0.8388,-0.9839,-0.3193,-0.5701,0.0766,-0.5050,-0.0198,1.0000,-0.9512,-0.0150,0.0795
vec_optical_softness,-0.0591,0.6584,0.9264,0.9694,0.4701,0.7121,-0.0099,0.6633,-0.0066,-0.9512,1.0000,-0.0398,-0.1084
vec_shadow_density,0.9150,-0.0057,-0.0836,-0.0264,-0.0512,-0.0663,-0.0453,-0.2746,0.8346,-0.0150,-0.0398,1.0000,0.3753
vec_source_hardness,0.3335,-0.0558,-0.1419,-0.0919,-0.1151,-0.1219,-0.0229,-0.1988,0.5224,0.0795,-0.1084,0.3753,1.0000
