vector_id,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness
vec_black_level,1.0000,0.6474,0.7512,0.7344,0.5974,0.6166,0.0950,0.8829,0.9695,0.8884,0.7496,0.9831,0.9361
vec_bokeh_softness,0.6474,1.0000,0.7977,0.8249,0.5866,0.7649,0.0589,0.7291,0.6499,0.5513,0.8413,0.6227,0.6776
vec_diffusion,0.7512,0.7977,1.0000,0.9523,0.8472,0.9190,0.1636,0.9077,0.7856,0.6805,0.9765,0.7298,0.8086
vec_edge_softness,0.7344,0.8249,0.9523,1.0000,0.6871,0.8107,0.0621,0.8410,0.7380,0.6015,0.9883,0.7043,0.7702
vec_halation,0.5974,0.5866,0.8472,0.6871,1.0000,0.9389,0.2006,0.7613,0.6591,0.5787,0.7479,0.5823,0.6417
vec_highlight_bloom,0.6166,0.7649,0.9190,0.8107,0.9389,1.0000,0.2960,0.7895,0.6726,0.5549,0.8616,0.5996,0.6649
vec_highlight_color_bias,0.0950,0.0589,0.1636,0.0621,0.2006,0.2960,1.0000,0.1707,0.1049,0.1503,0.1050,0.1012,0.1286
vec_highlight_rolloff,0.8829,0.7291,0.9077,0.8410,0.7613,0.7895,0.1707,1.0000,0.9119,0.9209,0.8765,0.8592,0.9603
vec_key_to_fill_ratio,0.9695,0.6499,0.7856,0.7380,0.6591,0.6726,0.1049,0.9119,1.0000,0.8984,0.7658,0.9696,0.9531
vec_microcontrast,0.8884,0.5513,0.6805,0.6015,0.5787,0.5549,0.1503,0.9209,0.8984,1.0000,0.6429,0.8621,0.9512
vec_optical_softness,0.7496,0.8413,0.9765,0.9883,0.7479,0.8616,0.1050,0.8765,0.7658,0.6429,1.0000,0.7260,0.7961
vec_shadow_density,0.9831,0.6227,0.7298,0.7043,0.5823,0.5996,0.1012,0.8592,0.9696,0.8621,0.7260,1.0000,0.9124
vec_source_hardness,0.9361,0.6776,0.8086,0.7702,0.6417,0.6649,0.1286,0.9603,0.9531,0.9512,0.7961,0.9124,1.0000
