observation_id,vec_analog_video_texture,vec_atmospheric_haze_response,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_exposure_bias,vec_final_bloom,vec_fine_detail_rolloff,vec_global_contrast,vec_grain_structure,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness,vec_telecine_softness,vec_veiling_glare,vec_vhs_bandwidth_loss
obs_0001,0.0000,0.0000,0.6000,0.5500,0.6000,0.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,0.6600,0.0000,0.5000,0.5800,0.7000,0.7200,0.6800,0.5500,0.0000,0.0000,0.0000
obs_0002,0.0000,0.0000,0.6000,0.5500,0.6000,0.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,0.6600,0.0000,0.5000,0.5800,0.7000,0.7200,0.6800,0.5500,0.0000,0.0000,0.0000
obs_0003,0.0000,0.0000,0.6000,0.5500,0.6000,0.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,0.6600,0.0000,0.5000,0.5800,0.7000,0.7200,0.6800,0.5500,0.0000,0.0000,0.0000
obs_0004,0.0000,0.0000,0.6000,0.5500,0.6000,0.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,0.6600,0.0000,0.5000,0.5800,0.7000,0.7200,0.6800,0.5500,0.0000,0.0000,0.0000
obs_0005,0.0000,0.0000,0.6000,0.5500,0.6000,0.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.7000,0.6600,0.0000,0.5000,0.5800,0.7000,0.7200,0.6800,0.5500,0.0000,0.0000,0.0000
obs_0006,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.6200,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0007,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0008,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.6200,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0009,0.0000,0.0000,0.4500,0.7800,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.8200,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0010,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0011,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.6200,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0012,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0013,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6400,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0014,0.0000,0.0000,0.4500,0.5000,0.5500,0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
obs_0015,0.0000,0.0000,0.4500,0.5000,0.5500,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.0000,0.4500,0.4500,0.6600,0.7800,0.5000,0.4000,0.0000,0.0000,0.0000
