vector_id,vec_atmospheric_haze_response,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_exposure_bias,vec_final_bloom,vec_global_contrast,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness,vec_veiling_glare
vec_atmospheric_haze_response,1.1300,0.5700,0.1500,1.2920,0.3580,0.0000,0.0000,0.0000,0.0900,0.1200,0.0000,0.5250,0.4200,0.9000,0.4950,0.4200,0.4500,0.5850
vec_black_level,0.5700,12.4623,4.4272,6.5382,7.2466,6.2068,0.0000,4.5280,3.8189,4.9288,0.1210,14.7320,13.4769,14.9415,10.5924,13.6266,12.2860,2.8232
vec_bokeh_softness,0.1500,4.4272,6.2093,3.0758,4.8588,0.0000,0.0000,0.0000,2.3940,3.6040,0.0440,6.7298,5.2342,8.8568,6.0344,5.3958,5.2406,1.0474
vec_diffusion,1.2920,6.5382,3.0758,7.4973,6.0982,1.8840,0.2400,1.4400,4.4752,5.9918,0.1430,10.2835,8.1940,9.6275,8.5718,8.2348,6.9254,2.8760
vec_edge_softness,0.3580,7.2466,4.8588,6.0982,10.4414,0.0000,0.0000,0.0000,4.6562,6.5636,0.0880,10.9316,8.3376,12.0078,11.5471,8.6592,8.1392,1.4788
vec_exposure_bias,0.0000,6.2068,0.0000,1.8840,0.0000,12.4125,0.0000,9.4200,0.0000,0.0000,0.0000,8.2425,8.7490,0.0000,4.2390,7.8215,7.3450,1.9736
vec_final_bloom,0.0000,0.0000,0.0000,0.2400,0.0000,0.0000,0.1920,0.0000,0.7232,0.7880,0.0000,0.9600,0.7200,0.0000,0.4800,0.7680,0.0000,0.1920
vec_global_contrast,0.0000,4.5280,0.0000,1.4400,0.0000,9.4200,0.0000,7.2000,0.0000,0.0000,0.0000,6.3000,6.7640,0.0000,3.2400,6.0960,5.6240,1.4960
vec_halation,0.0900,3.8189,2.3940,4.4752,4.6562,0.0000,0.7232,0.0000,9.7405,8.8850,0.2475,10.0331,7.4705,6.6433,7.5733,7.5824,4.2320,1.0982
vec_highlight_bloom,0.1200,4.9288,3.6040,5.9918,6.5636,0.0000,0.7880,0.0000,8.8850,12.4651,0.4290,12.0744,8.9290,8.1656,9.9395,9.0860,5.4252,1.4986
vec_highlight_color_bias,0.0000,0.1210,0.0440,0.1430,0.0880,0.0000,0.0000,0.0000,0.2475,0.4290,0.3025,0.2970,0.1540,0.3190,0.1705,0.1650,0.1650,0.0000
vec_highlight_rolloff,0.5250,14.7320,6.7298,10.2835,10.9316,8.2425,0.9600,6.3000,10.0331,12.0744,0.2970,26.4410,22.1169,21.1425,18.2620,22.1670,17.2904,4.4565
vec_key_to_fill_ratio,0.4200,13.4769,5.2342,8.1940,8.3376,8.7490,0.7200,6.7640,7.4705,8.9290,0.1540,22.1169,21.2182,17.1763,14.7528,20.8612,15.7116,3.8620
vec_microcontrast,0.9000,14.9415,8.8568,9.6275,12.0078,0.0000,0.0000,0.0000,6.6433,8.1656,0.3190,21.1425,17.1763,31.2395,14.7408,17.8504,17.1140,3.5980
vec_optical_softness,0.4950,10.5924,6.0344,8.5718,11.5471,4.2390,0.4800,3.2400,7.5733,9.9395,0.1705,18.2620,14.7528,14.7408,16.2326,14.9112,12.1824,2.9684
vec_shadow_density,0.4200,13.6266,5.3958,8.2348,8.6592,7.8215,0.7680,6.0960,7.5824,9.0860,0.1650,22.1670,20.8612,17.8504,14.9112,22.2627,15.3830,3.7610
vec_source_hardness,0.4500,12.2860,5.2406,6.9254,8.1392,7.3450,0.0000,5.6240,4.2320,5.4252,0.1650,17.2904,15.7116,17.1140,12.1824,15.3830,14.6252,3.0418
vec_veiling_glare,0.5850,2.8232,1.0474,2.8760,1.4788,1.9736,0.1920,1.4960,1.0982,1.4986,0.0000,4.4565,3.8620,3.5980,2.9684,3.7610,3.0418,1.8715
