observation_id,vec_atmospheric_haze_response,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_exposure_bias,vec_global_contrast,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness,vec_veiling_glare
obs_0001,0.0000,0.2200,0.1000,0.0800,0.1600,0.0000,0.0000,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200,0.0000
obs_0002,0.0000,0.2200,0.1000,0.0800,0.1600,0.0000,0.0000,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200,0.0000
obs_0003,0.0000,0.2200,0.1000,0.0800,0.1600,0.0000,0.0000,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200,0.0000
obs_0004,0.0000,0.2200,0.1000,0.0800,0.1600,0.0000,0.0000,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200,0.0000
obs_0005,0.0000,0.2200,0.1000,0.0800,0.1600,0.0000,0.0000,0.0400,0.0600,0.0000,0.3500,0.2800,0.6400,0.1800,0.3000,0.3200,0.0000
obs_0006,0.0000,0.2200,0.1000,0.2100,0.4000,0.0000,0.0000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000,0.0000
obs_0007,0.0000,0.2200,0.1000,0.0600,0.1200,0.0000,0.0000,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000,0.0000
obs_0008,0.0000,0.2200,0.1000,0.2100,0.4000,0.0000,0.0000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000,0.0000
obs_0009,0.0000,0.2200,0.8000,0.3800,0.7400,0.0000,0.0000,0.3500,0.8800,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000,0.0000
obs_0010,0.0000,0.2200,0.1000,0.0600,0.1200,0.0000,0.0000,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000,0.0000
obs_0011,0.0000,0.2200,0.1000,0.2100,0.4000,0.0000,0.0000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000,0.0000
obs_0012,0.0000,0.2200,0.1000,0.0600,0.1200,0.0000,0.0000,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000,0.0000
obs_0013,0.0000,0.2200,0.1000,0.3800,0.7400,0.0000,0.0000,0.0800,0.4200,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000,0.0000
obs_0014,0.0000,0.2200,0.1000,0.3800,0.8000,0.0000,0.0000,0.0800,0.2800,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000,0.0000
obs_0015,0.0000,0.2200,0.1000,0.0600,0.1200,0.0000,0.0000,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000,0.0000
obs_0016,0.0000,0.2200,0.1000,0.2100,0.4000,0.0000,0.0000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000,0.0000
obs_0017,0.0000,0.2200,0.1000,0.3800,0.7400,0.0000,0.0000,0.7000,0.6800,0.0000,0.5100,0.2800,0.1800,0.8400,0.2800,0.3000,0.0000
obs_0018,0.0000,0.2200,0.1000,0.0600,0.1200,0.0000,0.0000,0.0800,0.1000,0.0000,0.4000,0.2800,0.6100,0.1400,0.2800,0.3000,0.0000
obs_0019,0.0000,0.2200,0.1000,0.2100,0.4000,0.0000,0.0000,0.0800,0.1000,0.0000,0.4500,0.2800,0.4100,0.4000,0.2800,0.3000,0.0000
