vector_id,vec_atmospheric_haze_response,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_exposure_bias,vec_final_bloom,vec_global_contrast,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness,vec_veiling_glare
vec_atmospheric_haze_response,1.0000,0.1172,0.0026,0.5222,0.0502,-0.0608,-0.0473,-0.0611,-0.0371,-0.0370,-0.0079,-0.0577,-0.0421,0.1102,0.0500,-0.0368,0.0370,0.4515
vec_black_level,0.1172,1.0000,0.1514,0.2306,0.2750,0.1738,-0.6799,0.1267,-0.2470,-0.2137,0.0001,-0.2011,0.2176,0.3682,0.1216,0.2121,0.6601,0.0508
vec_bokeh_softness,0.0026,0.1514,1.0000,0.1443,0.4217,-0.3472,-0.2702,-0.3489,0.0324,0.1530,-0.0075,0.1095,-0.1178,0.4390,0.3582,-0.0635,0.2264,-0.0663
vec_diffusion,0.5222,0.2306,0.1443,1.0000,0.4562,-0.2496,-0.1327,-0.2507,0.2311,0.3605,0.0600,0.3573,-0.0579,0.2242,0.4818,-0.0477,0.0965,0.5596
vec_edge_softness,0.0502,0.2750,0.4217,0.4562,1.0000,-0.4519,-0.3517,-0.4541,0.1850,0.3338,0.0044,0.4143,-0.0945,0.3898,0.8720,-0.0169,0.2985,-0.1427
vec_exposure_bias,-0.0608,0.1738,-0.3472,-0.2496,-0.4519,1.0000,-0.2570,0.9953,-0.3789,-0.4168,-0.0429,-0.3133,0.2409,-0.6414,-0.2717,0.0269,0.2560,0.1144
vec_final_bloom,-0.0473,-0.6799,-0.2702,-0.1327,-0.3517,-0.2570,1.0000,-0.2582,0.3990,0.3649,-0.0334,0.1702,-0.0981,-0.4991,-0.1551,-0.0201,-0.9237,0.0664
vec_global_contrast,-0.0611,0.1267,-0.3489,-0.2507,-0.4541,0.9953,-0.2582,1.0000,-0.3807,-0.4187,-0.0432,-0.3148,0.2641,-0.6444,-0.2730,0.0556,0.2598,0.1096
vec_halation,-0.0371,-0.2470,0.0324,0.2311,0.1850,-0.3789,0.3990,-0.3807,1.0000,0.7149,0.1239,0.6817,-0.0027,-0.0523,0.3058,0.0150,-0.3873,-0.1857
vec_highlight_bloom,-0.0370,-0.2137,0.1530,0.3605,0.3338,-0.4168,0.3649,-0.4187,0.7149,1.0000,0.2195,0.7350,-0.0226,-0.0435,0.4683,0.0042,-0.3589,-0.1441
vec_highlight_color_bias,-0.0079,0.0001,-0.0075,0.0600,0.0044,-0.0429,-0.0334,-0.0432,0.1239,0.2195,1.0000,0.2222,-0.0297,0.0725,0.0259,-0.0147,0.0261,-0.0684
vec_highlight_rolloff,-0.0577,-0.2011,0.1095,0.3573,0.4143,-0.3133,0.1702,-0.3148,0.6817,0.7350,0.2222,1.0000,-0.0462,-0.0183,0.5484,-0.0740,-0.1924,-0.3348
vec_key_to_fill_ratio,-0.0421,0.2176,-0.1178,-0.0579,-0.0945,0.2409,-0.0981,0.2641,-0.0027,-0.0226,-0.0297,-0.0462,1.0000,-0.1695,-0.0451,0.6834,0.2890,-0.1050
vec_microcontrast,0.1102,0.3682,0.4390,0.2242,0.3898,-0.6414,-0.4991,-0.6444,-0.0523,-0.0435,0.0725,-0.0183,-0.1695,1.0000,0.0629,-0.0535,0.4481,-0.0654
vec_optical_softness,0.0500,0.1216,0.3582,0.4818,0.8720,-0.2717,-0.1551,-0.2730,0.3058,0.4683,0.0259,0.5484,-0.0451,0.0629,1.0000,-0.0132,0.1146,-0.0890
vec_shadow_density,-0.0368,0.2121,-0.0635,-0.0477,-0.0169,0.0269,-0.0201,0.0556,0.0150,0.0042,-0.0147,-0.0740,0.6834,-0.0535,-0.0132,1.0000,0.1121,-0.1551
vec_source_hardness,0.0370,0.6601,0.2264,0.0965,0.2985,0.2560,-0.9237,0.2598,-0.3873,-0.3589,0.0261,-0.1924,0.2890,0.4481,0.1146,0.1121,1.0000,-0.0814
vec_veiling_glare,0.4515,0.0508,-0.0663,0.5596,-0.1427,0.1144,0.0664,0.1096,-0.1857,-0.1441,-0.0684,-0.3348,-0.1050,-0.0654,-0.0890,-0.1551,-0.0814,1.0000
