vector_id,vec_analog_video_texture,vec_atmospheric_haze_response,vec_black_level,vec_bokeh_softness,vec_diffusion,vec_edge_softness,vec_exposure_bias,vec_final_bloom,vec_fine_detail_rolloff,vec_global_contrast,vec_grain_structure,vec_halation,vec_highlight_bloom,vec_highlight_color_bias,vec_highlight_rolloff,vec_key_to_fill_ratio,vec_microcontrast,vec_optical_softness,vec_shadow_density,vec_source_hardness,vec_telecine_softness,vec_veiling_glare,vec_vhs_bandwidth_loss
vec_analog_video_texture,1.0000,0.0000,0.0000,0.0000,0.1161,0.1923,0.0000,0.0000,0.6276,0.0000,0.9554,0.0769,0.0905,0.0000,0.0000,0.0000,0.3724,0.1725,0.0000,0.0000,0.5752,0.0000,0.5909
vec_atmospheric_haze_response,0.0000,1.0000,0.1519,0.0566,0.4383,0.1006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0270,0.0317,0.0000,0.0960,0.0858,0.1306,0.1116,0.0837,0.1107,0.0000,0.4023,0.0000
vec_black_level,0.0000,0.1519,1.0000,0.5033,0.6679,0.6131,0.4990,0.0000,0.0000,0.4780,0.0000,0.3447,0.3924,0.0623,0.8116,0.8288,0.6528,0.7193,0.8181,0.9100,0.0000,0.5846,0.0000
vec_bokeh_softness,0.0000,0.0566,0.5033,1.0000,0.4451,0.5824,0.0000,0.0000,0.0000,0.0000,0.0000,0.3061,0.4065,0.0321,0.5252,0.4560,0.5482,0.5805,0.4589,0.5499,0.0000,0.3073,0.0000
vec_diffusion,0.1161,0.4383,0.6679,0.4451,1.0000,0.6982,0.1928,0.1975,0.1504,0.1935,0.1391,0.5308,0.6268,0.0938,0.7212,0.6415,0.6156,0.7809,0.6294,0.6531,0.1293,0.7581,0.1335
vec_edge_softness,0.1923,0.1006,0.6131,0.5824,0.6982,1.0000,0.0000,0.0000,0.2491,0.0000,0.2305,0.4706,0.5833,0.0478,0.6350,0.5406,0.6858,0.8929,0.5481,0.6357,0.2142,0.3229,0.2211
vec_exposure_bias,0.0000,0.0000,0.4990,0.0000,0.1928,0.0000,1.0000,0.0000,0.0000,0.9964,0.0000,0.0000,0.0000,0.0000,0.4550,0.5391,0.0000,0.2884,0.4705,0.5451,0.0000,0.4095,0.0000
vec_final_bloom,0.0000,0.0000,0.0000,0.0000,0.1975,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.5259,0.5055,0.0000,0.4261,0.3567,0.0000,0.2626,0.3715,0.0000,0.0000,0.3203,0.0000
vec_fine_detail_rolloff,0.6276,0.0000,0.0000,0.0000,0.1504,0.2491,0.0000,0.0000,1.0000,0.0000,0.7598,0.0996,0.1172,0.0000,0.0000,0.0000,0.4823,0.2582,0.0000,0.0000,0.9427,0.0000,0.8639
vec_global_contrast,0.0000,0.0000,0.4780,0.0000,0.1935,0.0000,0.9964,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.4566,0.5472,0.0000,0.2895,0.4815,0.5481,0.0000,0.4075,0.0000
vec_grain_structure,0.9554,0.0000,0.0000,0.0000,0.1391,0.2305,0.0000,0.0000,0.7598,0.0000,1.0000,0.0922,0.1084,0.0000,0.0000,0.0000,0.4463,0.2077,0.0000,0.0000,0.6490,0.0000,0.7069
vec_halation,0.0769,0.0270,0.3447,0.3061,0.5308,0.4706,0.0000,0.5259,0.0996,0.0000,0.0922,1.0000,0.8087,0.1434,0.6217,0.5168,0.3796,0.6049,0.5121,0.3526,0.0857,0.2558,0.0885
vec_highlight_bloom,0.0905,0.0317,0.3924,0.4065,0.6268,0.5833,0.0000,0.5055,0.1172,0.0000,0.1084,0.8087,1.0000,0.2192,0.6600,0.5449,0.4164,0.7008,0.5413,0.3987,0.1008,0.3079,0.1040
vec_highlight_color_bias,0.0000,0.0000,0.0623,0.0321,0.0938,0.0478,0.0000,0.0000,0.0000,0.0000,0.0000,0.1434,0.2192,1.0000,0.1050,0.0608,0.0895,0.0743,0.0636,0.0784,0.0000,0.0000,0.0000
vec_highlight_rolloff,0.0000,0.0960,0.8116,0.5252,0.7212,0.6350,0.4550,0.4261,0.0000,0.4566,0.0000,0.6217,0.6600,0.1050,1.0000,0.9338,0.6341,0.8514,0.9136,0.8793,0.0000,0.6335,0.0000
vec_key_to_fill_ratio,0.0000,0.0858,0.8288,0.4560,0.6415,0.5406,0.5391,0.3567,0.0000,0.5472,0.0000,0.5168,0.5449,0.0608,0.9338,1.0000,0.5751,0.7678,0.9598,0.8919,0.0000,0.6129,0.0000
vec_microcontrast,0.3724,0.1306,0.6528,0.5482,0.6156,0.6858,0.0000,0.0000,0.4823,0.0000,0.4463,0.3796,0.4164,0.0895,0.6341,0.5751,1.0000,0.6730,0.5835,0.6902,0.4147,0.4056,0.4282
vec_optical_softness,0.1725,0.1116,0.7193,0.5805,0.7809,0.8929,0.2884,0.2626,0.2582,0.2895,0.2077,0.6049,0.7008,0.0743,0.8514,0.7678,0.6730,1.0000,0.7576,0.7636,0.2377,0.5202,0.2248
vec_shadow_density,0.0000,0.0837,0.8181,0.4589,0.6294,0.5481,0.4705,0.3715,0.0000,0.4815,0.0000,0.5121,0.5413,0.0636,0.9136,0.9598,0.5835,0.7576,1.0000,0.8525,0.0000,0.5827,0.0000
vec_source_hardness,0.0000,0.1107,0.9100,0.5499,0.6531,0.6357,0.5451,0.0000,0.0000,0.5481,0.0000,0.3526,0.3987,0.0784,0.8793,0.8919,0.6902,0.7636,0.8525,1.0000,0.0000,0.5814,0.0000
vec_telecine_softness,0.5752,0.0000,0.0000,0.0000,0.1293,0.2142,0.0000,0.0000,0.9427,0.0000,0.6490,0.0857,0.1008,0.0000,0.0000,0.0000,0.4147,0.2377,0.0000,0.0000,1.0000,0.0000,0.8467
vec_veiling_glare,0.0000,0.4023,0.5846,0.3073,0.7581,0.3229,0.4095,0.3203,0.0000,0.4075,0.0000,0.2558,0.3079,0.0000,0.6335,0.6129,0.4056,0.5202,0.5827,0.5814,0.0000,1.0000,0.0000
vec_vhs_bandwidth_loss,0.5909,0.0000,0.0000,0.0000,0.1335,0.2211,0.0000,0.0000,0.8639,0.0000,0.7069,0.0885,0.1040,0.0000,0.0000,0.0000,0.4282,0.2248,0.0000,0.0000,0.8467,0.0000,1.0000
